date,open,high,low,close,volume
2025-01-09,428.0,430.0,417.0,417.5,5235447.0
2025-01-10,420.0,420.5,416.0,420.0,4405382.0
2025-01-13,413.5,415.5,400.0,400.0,9734037.0
2025-01-14,410.0,412.5,403.0,410.0,10194540.0
2025-01-15,404.5,406.5,398.5,400.5,9458307.0
2025-01-16,408.5,424.5,405.5,418.5,9885870.0
2025-01-17,421.0,426.0,414.5,422.0,6581399.0
2025-01-20,425.0,431.5,425.0,427.0,4795905.0
2025-01-21,425.0,428.5,418.5,421.5,6714879.0
2025-01-22,424.0,438.0,424.0,437.5,10034866.0
2025-02-03,400.0,407.0,394.5,399.0,21442807.0
2025-02-04,401.5,408.0,396.5,397.0,9832298.0
2025-02-05,403.0,410.0,403.0,405.5,6794679.0
2025-02-06,413.5,417.5,411.5,417.0,8942631.0
2025-02-07,418.0,418.5,409.0,415.0,4903016.0
2025-02-10,405.0,409.5,404.0,404.5,5455004.0
2025-02-11,405.0,408.0,402.0,402.0,6933390.0
2025-02-12,403.0,406.5,401.0,401.0,3998133.0
2025-02-13,401.0,406.0,400.5,405.0,6701476.0
2025-02-14,402.0,406.0,400.0,401.0,5005852.0
2025-02-17,400.0,408.5,400.0,406.0,4598247.0
2025-02-18,402.0,403.5,390.5,391.0,21321011.0
2025-02-19,386.0,394.0,386.0,392.0,8248001.0
2025-02-20,392.5,394.5,390.0,390.0,10129322.0
2025-02-21,386.5,396.0,386.5,396.0,9099579.0
2025-02-24,391.5,396.0,389.5,395.5,7070816.0
2025-02-25,389.5,397.0,389.5,393.0,7896486.0
2025-02-26,392.0,399.0,391.0,399.0,9935842.0
2025-02-27,394.0,407.0,394.0,402.0,19818567.0
2025-03-03,397.0,400.0,390.0,390.0,12654968.0
2025-03-04,385.0,387.0,373.0,377.5,20515117.0
2025-03-05,379.0,383.0,377.5,378.5,10339351.0
2025-03-06,381.5,387.5,380.5,383.5,8387739.0
2025-03-07,381.5,381.5,375.0,375.0,9283003.0
2025-03-10,375.0,381.0,375.0,375.5,6133006.0
2025-03-11,372.0,373.5,365.5,370.5,9688806.0
2025-03-12,371.5,389.5,371.5,387.5,13619884.0
2025-03-13,392.5,398.0,388.0,388.5,11619792.0
2025-03-14,385.0,386.0,377.0,378.5,9504845.0
2025-03-17,385.0,396.0,383.0,394.0,12188489.0
2025-03-18,393.0,400.0,392.5,400.0,8481895.0
2025-03-19,398.0,400.0,390.5,390.5,7045784.0
2025-03-20,391.0,401.0,391.0,393.5,8096266.0
2025-03-21,392.5,398.0,390.0,396.0,9864363.0
2025-03-24,400.0,406.0,392.0,392.0,10204406.0
2025-03-25,392.5,395.5,390.5,392.0,4709909.0
2025-03-26,396.5,400.5,394.0,399.0,9663861.0
2025-03-27,395.0,395.0,381.5,392.0,5235582.0
2025-03-28,383.0,386.5,375.0,376.5,9839778.0
2025-03-31,365.0,369.5,360.0,360.0,9089289.0
2025-04-01,365.0,371.5,362.5,371.0,6303543.0
2025-04-02,365.0,373.5,364.0,369.5,3560122.0
2025-04-07,333.0,333.0,333.0,333.0,2702060.0
2025-04-08,300.5,311.0,300.0,305.0,28828129.0
